q_id,source_lang,target_lang,q_src,q_tgt,a_src,a_tgt,correct_target,language_version_count,qa_topic,question_type,cooc_num_pairs,cooc_total_pairs,cooc_coverage_ratio,cooc_unseen_keywords_count,cooc_unseen_keywords_ratio,cooc_avg_pmi,cooc_max_pmi,cooc_min_pmi,cooc_std_pmi,target_avg_dep_depth,target_max_tree_depth,target_num_clauses,source_avg_dep_depth,source_max_tree_depth,source_num_clauses,source_lang_name,target_lang_name,source_family,source_genus,target_family,target_genus,source_script,source_syllables,source_wiki_size,target_script,target_syllables,target_wiki_size
33,en,de,In which country was AFN Bremerhaven located?,In welchem Land befand sich AFN Bremerhaven?,"AFN Bremerhaven was located in Germany. AFN stands for American Forces Network, and AFN Bremerhaven was one of the network's broadcasting stations serving U.S. military personnel stationed in and around Bremerhaven, Germany.","AFN Bremerhaven befand sich in Deutschland. AFN steht für American Forces Network, und der Sender diente als Unterhaltungs- und Nachrichtenquelle für die in Deutschland stationierten US-Streitkräfte. Bremerhaven war einer der Standorte in Deutschland, an denen AFN vertreten war.",True,1,geography,location,5,10.0,0.5,0,0.0,-1.9666122733012852,-1.0120893160103897,-2.595184839536732,0.5557363950097747,1.25,2,0,1.375,2,1,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
30,en,de,What was the position of August Joseph Donatelli's plane during World War II when it was shot down?,"Welche Position hatte August Joseph Donatelli im Flugzeug während des Zweiten Weltkriegs, als es abgeschossen wurde?","August Joseph Donatelli served as a waist gunner on a B-17 bomber during World War II. When his plane was shot down, he occupied this position, which is located on the side of the aircraft, typically midway between the nose and the tail. Waist gunners were responsible for defending the aircraft from enemy fighters approaching from the sides.",August Joseph Donatelli war während des Zweiten Weltkriegs ein Funker und Bordschütze in einem Bomberflugzeug.,False,1,history,event,84,120.0,0.7,2,0.125,-0.6587104905659074,3.2633148184163967,-2.1607048339282966,0.8243268065933339,1.5789473684210529,2,1,0.9473684210526316,1,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
55,en,de,What was the television network that aired The Greatest Canadian Invention?,Welcher Fernsehsender strahlte Die größte kanadische Erfindung aus?,"The television network that aired ""The Greatest Canadian Invention"" was CBC Television.","Die Dokumentarserie ""Die größte kanadische Erfindung"" wurde von CBC Television ausgestrahlt.",False,1,culture,organization,19,36.0,0.5277777777777778,0,0.0,-0.2606796564054874,5.947451410409971,-3.389955041841555,2.1315701248989773,0.8888888888888888,2,0,1.8333333333333333,3,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
39,en,de,Since which decade did bowl games start counting toward single-season and career statistics?,Ab welchem Jahrzehnt wurden Bowl-Spiele in die Statistiken für einzelne Saisons und Karrieren einbezogen?,"Bowl games started counting toward single-season and career statistics beginning in the 2002 season. Prior to that, statistics from bowl games were not included in a player’s season or career totals.","Bowl-Spiele wurden ab den 2000er Jahren in die Statistiken für einzelne Saisons und Karrieren im College Football einbezogen. Vor dieser Änderung zählten Statistiken aus Bowl-Spielen nicht zu den offiziellen Saison- oder Karrierewerten der Spieler. Die NCAA änderte ihre Regelung ab der Saison 2002, sodass nun auch Leistungen aus Bowl-Spielen berücksichtigt werden.",True,1,sports,date_time,45,66.0,0.6818181818181818,0,0.0,-0.6701433787344987,2.113454311840561,-2.264115749172983,0.9918930761933206,1.9411764705882353,4,0,1.0,2,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
63,en,de,What is the original name of Entebbe General Hospital?,Wie lautete der ursprüngliche Name des Allgemeinen Krankenhauses Entebbe?,The original name of Entebbe General Hospital is Entebbe Military Hospital.,"Der ursprüngliche Name des Allgemeinen Krankenhauses Entebbe war ""Kaiserlich Deutsches Krankenhaus.""",False,2,health,definition,43,55.0,0.7818181818181819,0,0.0,-1.161178658015581,2.9382966552017473,-3.223969524486228,0.9756316397862592,1.8,3,0,0.9,1,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
56,en,de,What was the name of the University of Detroit's halfback in the 1929 football season?,Wie hieß der Halfback der University of Detroit in der Football-Saison 1929?,The University of Detroit's halfback in the 1929 football season was Lloyd Brazil. He was a standout player and is well remembered in the history of the university's football program.,Der Halfback der University of Detroit in der Football-Saison 1929 hieß Lloyd Brazil. Er war einer der herausragenden Spieler des Teams und trug maßgeblich zum Erfolg der Mannschaft in jener Saison bei.,True,1,sports,person,29,55.0,0.5272727272727272,1,0.0909090909090909,-1.7201437524282157,0.9488622323993235,-3.6261031266788297,1.2198243175848884,2.6666666666666665,5,0,0.9411764705882352,1,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
42,en,de,What is the original name of the Flood Modeller software?,Wie hieß die Flood Modeller-Software ursprünglich?,The Flood Modeller software was originally known as ISIS. It was developed by HR Wallingford and has been used for hydrodynamic modeling and flood risk management.,"Die Flood Modeller-Software hieß ursprünglich ""ISIS"". Diese Software war bekannt für die Modellierung von Hochwasserszenarien und wurde später in Flood Modeller umbenannt, um moderne Ansprüche und Entwicklungen im Bereich der Wasserwirtschaft besser widerzuspiegeln.",True,1,technology,work_creation,10,21.0,0.4761904761904761,0,0.0,-0.5414528869641455,5.856551055586123,-2.302966426851617,2.385629189676131,1.4444444444444444,3,0,1.0909090909090908,2,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
46,en,de,What religious practice did the Magars follow?,Welche religiöse Praxis befolgten die Magars?,"The Magars, who are an indigenous ethnic group primarily residing in Nepal, have traditionally practiced a blend of religions and spiritual beliefs. Historically, their religious practices have included elements of shamanism and animism, with a strong emphasis on nature worship and the veneration of ancestors. Shamans, known locally as ""Bijuwa"" or ""Dhami,"" play a crucial role in their spiritual and community life, performing rituals to appease spirits and seek guidance.

In contemporary times, many Magars have also adopted Hinduism and Buddhism, reflecting the broader religious landscape of Nepal. As a result, their religious practices today may incorporate Hindu and Buddhist customs alongside their indigenous traditions. This syncretism allows the Magars to maintain their cultural identity while also being part of the larger religious communities in Nepal.","Die Magars, eine ethnische Gruppe aus Nepal, befolgen traditionell eine Mischung aus animistischen und buddhistischen Praktiken. Sie verehren Naturgeister und Ahnengeister, ein Glaube, der eng mit ihrer animistischen Tradition verbunden ist. Der Buddhismus, insbesondere der tibetische Vajrayana-Buddhismus, hat ebenfalls Einfluss auf ihre religiösen Praktiken. In jüngerer Zeit haben sich einige Magars auch zum Hinduismus bekannt, was auf den Einfluss der größeren hinduistischen Gesellschaft in Nepal zurückzuführen ist. Diese synkretistische Kombination von Glaubensrichtungen spiegelt die Vielfalt und den kulturellen Reichtum der Magar-Gemeinschaft wider.",False,1,culture,other,5,21.0,0.238095238095238,3,0.4285714285714285,-1.591317076960711,0.6691763235205196,-2.6908350639293612,1.2983519850116347,1.2857142857142858,2,0,1.5,2,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
57,en,de,What does the lowest part of the Espiritu Santo Formation consist of?,Was ist der unterste Teil der Espiritu-Santo-Formation?,"The Espiritu Santo Formation, primarily located in Panama, is a geological formation known for its fossil-rich deposits. The lowest part of the Espiritu Santo Formation commonly consists of marine sediments, primarily composed of sandstone, siltstone, and shale. These sedimentary rocks were deposited in a marine environment, suggesting that the area was once underwater. The precise composition can vary slightly depending on the specific location within the formation, but the presence of marine fossils is typical, indicating the ancient marine conditions during the time of deposition.","Der unterste Teil der Espiritu-Santo-Formation ist die San-Lorenzo-Formation. Diese geologische Formation besteht hauptsächlich aus Sedimentgesteinen und ist ein wichtiger Bestandteil der geologischen Struktur in bestimmten Regionen, insbesondere in Teilen Mexikos. Sie ist bekannt für ihre Fossilienfunde, die wichtige Informationen über die Erdgeschichte liefern.",False,1,science,definition,20,45.0,0.4444444444444444,1,0.1,-0.6602681869441056,7.158698919052616,-2.2912089057016156,2.2402235803187724,1.5,3,0,0.9230769230769232,1,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
66,en,de,In which year was the Toronto edition of Ming Pao Daily News launched?,In welchem Jahr wurde die Toronto-Ausgabe der Ming Pao Daily News ins Leben gerufen?,The Toronto edition of Ming Pao Daily News was launched in 1993.,Die Toronto-Ausgabe der Ming Pao Daily News wurde im Jahr 1993 ins Leben gerufen.,True,1,history,date_time,43,66.0,0.6515151515151515,0,0.0,-1.65267399811165,1.230381808730734,-4.475292835488071,1.044203087134083,1.8888888888888888,3,0,1.7142857142857142,2,0,english,german,Indo-European,Germanic,Indo-European,Germanic,LATIN,6949,7087876,LATIN,5100,3067614
